"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"ru.ifmo.mpp.jmh.FalseSharing.baseline","avgt",2,25,7.633932,2.041517,"ns/op"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:reader","avgt",2,25,13.188002,4.090907,"ns/op"
"ru.ifmo.mpp.jmh.FalseSharing.baseline:writer","avgt",2,25,2.079862,0.026014,"ns/op"
"ru.ifmo.mpp.jmh.FalseSharing.padded","avgt",2,25,2.324985,0.039350,"ns/op"
"ru.ifmo.mpp.jmh.FalseSharing.padded:reader","avgt",2,25,2.540501,0.066696,"ns/op"
"ru.ifmo.mpp.jmh.FalseSharing.padded:writer","avgt",2,25,2.109469,0.024682,"ns/op"
"ru.ifmo.mpp.jmh.FourThreadedBenchmarkScope.basicReader","avgt",4,25,5.015177,0.093862,"ns/op"
"ru.ifmo.mpp.jmh.FourThreadedBenchmarkScope.basicWriter","avgt",4,25,21.081478,0.419731,"ns/op"
"ru.ifmo.mpp.jmh.FourThreadedBenchmarkScope.lockingReader","avgt",4,25,154.459339,6.638470,"ns/op"
"ru.ifmo.mpp.jmh.FourThreadedBenchmarkScope.lockingWriter","avgt",4,25,153.601338,6.494857,"ns/op"
"ru.ifmo.mpp.jmh.FourThreadedBenchmarkScope.syncedReader","avgt",4,25,218.259569,19.034912,"ns/op"
"ru.ifmo.mpp.jmh.FourThreadedBenchmarkScope.syncedWriter","avgt",4,25,210.036707,21.421019,"ns/op"
"ru.ifmo.mpp.jmh.FourThreadedBenchmarkScope.volatileReader","avgt",4,25,5.061608,0.067415,"ns/op"
"ru.ifmo.mpp.jmh.FourThreadedBenchmarkScope.volatileWriter","avgt",4,25,80.966255,0.956151,"ns/op"
"ru.ifmo.mpp.jmh.FourThreadedThreadScope.basicReader","avgt",4,25,4.852882,0.067117,"ns/op"
"ru.ifmo.mpp.jmh.FourThreadedThreadScope.basicWriter","avgt",4,25,5.350131,0.249358,"ns/op"
"ru.ifmo.mpp.jmh.FourThreadedThreadScope.lockingReader","avgt",4,25,34.760727,1.660555,"ns/op"
"ru.ifmo.mpp.jmh.FourThreadedThreadScope.lockingWriter","avgt",4,25,33.146851,1.316561,"ns/op"
"ru.ifmo.mpp.jmh.FourThreadedThreadScope.syncedReader","avgt",4,25,32.388164,0.538472,"ns/op"
"ru.ifmo.mpp.jmh.FourThreadedThreadScope.syncedWriter","avgt",4,25,31.881074,0.358909,"ns/op"
"ru.ifmo.mpp.jmh.FourThreadedThreadScope.volatileReader","avgt",4,25,4.895270,0.069283,"ns/op"
"ru.ifmo.mpp.jmh.FourThreadedThreadScope.volatileWriter","avgt",4,25,19.541408,1.635546,"ns/op"
"ru.ifmo.mpp.jmh.SingleThreadedBenchmarkScope.basicReader","avgt",1,25,2.522121,0.097081,"ns/op"
"ru.ifmo.mpp.jmh.SingleThreadedBenchmarkScope.basicWriter","avgt",1,25,2.669775,0.015525,"ns/op"
"ru.ifmo.mpp.jmh.SingleThreadedBenchmarkScope.lockingReader","avgt",1,25,24.031013,0.113839,"ns/op"
"ru.ifmo.mpp.jmh.SingleThreadedBenchmarkScope.lockingWriter","avgt",1,25,24.153515,0.123953,"ns/op"
"ru.ifmo.mpp.jmh.SingleThreadedBenchmarkScope.syncedReader","avgt",1,25,25.176542,0.141168,"ns/op"
"ru.ifmo.mpp.jmh.SingleThreadedBenchmarkScope.syncedWriter","avgt",1,25,25.631982,0.157498,"ns/op"
"ru.ifmo.mpp.jmh.SingleThreadedBenchmarkScope.volatileReader","avgt",1,25,2.487491,0.018214,"ns/op"
"ru.ifmo.mpp.jmh.SingleThreadedBenchmarkScope.volatileWriter","avgt",1,25,12.284648,0.596330,"ns/op"
"ru.ifmo.mpp.jmh.SingleThreadedThreadScope.basicReader","avgt",1,25,2.509085,0.094420,"ns/op"
"ru.ifmo.mpp.jmh.SingleThreadedThreadScope.basicWriter","avgt",1,25,2.662746,0.018143,"ns/op"
"ru.ifmo.mpp.jmh.SingleThreadedThreadScope.lockingReader","avgt",1,25,24.046286,0.164457,"ns/op"
"ru.ifmo.mpp.jmh.SingleThreadedThreadScope.lockingWriter","avgt",1,25,24.074940,0.152654,"ns/op"
"ru.ifmo.mpp.jmh.SingleThreadedThreadScope.syncedReader","avgt",1,25,25.112692,0.185771,"ns/op"
"ru.ifmo.mpp.jmh.SingleThreadedThreadScope.syncedWriter","avgt",1,25,25.541011,0.111584,"ns/op"
"ru.ifmo.mpp.jmh.SingleThreadedThreadScope.volatileReader","avgt",1,25,2.480751,0.019271,"ns/op"
"ru.ifmo.mpp.jmh.SingleThreadedThreadScope.volatileWriter","avgt",1,25,12.278420,0.423675,"ns/op"
"ru.ifmo.mpp.jmh.SixteenThreadedBenchmarkScope.basicReader","avgt",16,25,20.780488,0.282947,"ns/op"
"ru.ifmo.mpp.jmh.SixteenThreadedBenchmarkScope.basicWriter","avgt",16,25,83.427748,1.199615,"ns/op"
"ru.ifmo.mpp.jmh.SixteenThreadedBenchmarkScope.lockingReader","avgt",16,25,589.768472,18.248312,"ns/op"
"ru.ifmo.mpp.jmh.SixteenThreadedBenchmarkScope.lockingWriter","avgt",16,25,613.176736,24.175263,"ns/op"
"ru.ifmo.mpp.jmh.SixteenThreadedBenchmarkScope.syncedReader","avgt",16,25,852.968693,14.670270,"ns/op"
"ru.ifmo.mpp.jmh.SixteenThreadedBenchmarkScope.syncedWriter","avgt",16,25,834.079357,38.783595,"ns/op"
"ru.ifmo.mpp.jmh.SixteenThreadedBenchmarkScope.volatileReader","avgt",16,25,20.055472,0.267996,"ns/op"
"ru.ifmo.mpp.jmh.SixteenThreadedBenchmarkScope.volatileWriter","avgt",16,25,328.306005,16.177455,"ns/op"
"ru.ifmo.mpp.jmh.SixteenThreadedThreadScope.basicReader","avgt",16,25,19.445083,0.162962,"ns/op"
"ru.ifmo.mpp.jmh.SixteenThreadedThreadScope.basicWriter","avgt",16,25,20.557567,0.269036,"ns/op"
"ru.ifmo.mpp.jmh.SixteenThreadedThreadScope.lockingReader","avgt",16,25,128.558621,1.130658,"ns/op"
"ru.ifmo.mpp.jmh.SixteenThreadedThreadScope.lockingWriter","avgt",16,25,130.248346,3.689557,"ns/op"
"ru.ifmo.mpp.jmh.SixteenThreadedThreadScope.syncedReader","avgt",16,25,124.705926,1.031235,"ns/op"
"ru.ifmo.mpp.jmh.SixteenThreadedThreadScope.syncedWriter","avgt",16,25,125.188374,1.835921,"ns/op"
"ru.ifmo.mpp.jmh.SixteenThreadedThreadScope.volatileReader","avgt",16,25,19.804076,0.339615,"ns/op"
"ru.ifmo.mpp.jmh.SixteenThreadedThreadScope.volatileWriter","avgt",16,25,82.039435,0.362875,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedBenchmarkScope.basicReader","avgt",2,25,2.466592,0.026026,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedBenchmarkScope.basicWriter","avgt",2,25,12.942836,0.567329,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedBenchmarkScope.lockingReader","avgt",2,25,258.445162,12.817440,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedBenchmarkScope.lockingWriter","avgt",2,25,279.250287,30.703802,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedBenchmarkScope.syncedReader","avgt",2,25,113.318128,2.085656,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedBenchmarkScope.syncedWriter","avgt",2,25,111.498511,4.678642,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedBenchmarkScope.volatileReader","avgt",2,25,2.591713,0.032642,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedBenchmarkScope.volatileWriter","avgt",2,25,68.962633,2.157781,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedThreadScope.basicReader","avgt",2,25,2.506577,0.027707,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedThreadScope.basicWriter","avgt",2,25,2.716554,0.055154,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedThreadScope.lockingReader","avgt",2,25,23.943927,0.443615,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedThreadScope.lockingWriter","avgt",2,25,23.752312,0.101289,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedThreadScope.syncedReader","avgt",2,25,24.770291,0.166625,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedThreadScope.syncedWriter","avgt",2,25,25.024943,0.163579,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedThreadScope.volatileReader","avgt",2,25,2.600787,0.037250,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedThreadScope.volatileWriter","avgt",2,25,11.379780,1.106934,"ns/op"
